Object,Star,Star type,Mass (M⊕),Radius (R⊕),Density (g/cm3),Flux (F⊕),Teq (K),Period (days),Distance (ly),Note,index,Discovery Year,Discovery Method
K2-138 c,,,6.31,2.3,,,,,660.43,,6477.0,2017,Transit
K2-138 e,,,12.97,3.39,,,,,660.43,,6494.0,2017,Transit
K2-141 b,,,5.31,1.54,,,,,201.71,,6505.0,2018,Transit
K2-141 c,,,8.0,7.0,,,,,201.71,,6510.0,2018,Transit
Kepler-1654 b,,,158.91,9.18,,,,,1852.06,,6563.0,2018,Transit
K2-232 b,,,126.5,11.21,,,,,426.15,,6570.0,2018,Transit
HATS-41 b,,,3082.95,14.91,,,,,2404.8,,6585.0,2018,Transit
HATS-44 b,,,177.98,11.96,,,,,1454.07,,6629.0,2018,Transit
NGTS-3 A b,,,756.44,16.59,,,,,2425.35,,6653.0,2018,Transit
K2-237 b,,,508.53,18.5,,,,,1026.88,,6670.0,2018,Transit
K2-238 b,,,273.33,14.57,,,,,1753.76,,6679.0,2018,Transit
Kepler-128 b,,,0.77,1.43,,,,,1292.2,,6716.0,2013,Transit
K2-260 b,,,546.66,18.42,,,,,2164.1,,6733.0,2018,Transit
K2-266 e,,,14.3,2.73,,,,,252.84,,6781.0,2018,Transit
WASP-145 A b,,,282.87,10.09,,,,,297.63,,6791.0,2018,Transit
WASP-172 b,,,149.38,17.6,,,,,1754.24,,6811.0,2018,Transit
WASP-173 A b,,,1172.79,13.45,,,,,759.51,,6816.0,2018,Transit
pi Men c,,,4.52,2.06,,,,,59.56,,6865.0,2018,Transit
WASP-163 b,,,594.34,13.47,,,,,852.12,,6934.0,2018,Transit
K2-285 b,,,9.68,2.59,,,,,505.17,,6939.0,2018,Transit
K2-285 d,,,6.5,2.48,,,,,505.17,,6943.0,2018,Transit
K2-285 e,,,10.7,1.95,,,,,505.17,,6944.0,2018,Transit
K2-287 b,,,100.12,9.49,,,,,516.17,,6946.0,2018,Transit
HATS-61 b,,,1080.62,13.39,,,,,2216.02,,6955.0,2018,Transit
HATS-62 b,,,56.89,11.82,,,,,1705.2,,6958.0,2018,Transit
HATS-63 b,,,305.12,13.53,,,,,2031.74,,6959.0,2018,Transit
K2-290 b,,,10.9,3.06,,,,,889.68,,6987.0,2019,Transit
K2-290 c,,,246.0,11.28,,,,,889.68,,6998.0,2019,Transit
K2-291 b,,,6.49,1.59,,,,,293.58,,7000.0,2019,Transit
HD 202772 A b,,,323.23,17.32,,,,,526.48,,7008.0,2019,Transit
K2-292 b,,,24.5,2.63,,,,,372.6,,7011.0,2019,Transit
HD 23472 c,,,17.18,2.15,,,,,127.25,,7037.0,2019,Transit
HD 219666 b,,,16.6,4.71,,,,,307.0,,7042.0,2018,Transit
HD 1397 b,,,131.9,11.5,,,,,259.4,,7047.0,2018,Transit
WASP-190 b,,,317.83,12.89,,,,,1767.74,,7055.0,2019,Transit
PDS 70 b,,,2542.64,14.57,,,,,368.59,,7061.0,2018,Imaging
TOI-172 b,,,1722.64,10.82,,,,,1117.63,,7088.0,2019,Transit
Kepler-47 d,,,19.02,7.04,,,,,3341.57,,7120.0,2019,Transit
Qatar-8 b,,,117.91,14.4,,,,,917.68,,7123.0,2019,Transit
TOI-216.02,,,30.0,7.69,,,,,580.1,,7145.0,2019,Transit
TOI-216.01,,,200.0,11.29,,,,,580.1,,7149.0,2019,Transit
